D_km,SKR_0.0,SKR_1.0e-6,SKR_0.001
0,0.3813784429481384,0.3776714728693221,0.26174717492020705
1,0.3642132456239078,0.3605905750829551,0.24727418538000678
2,0.347820599400731,0.34428031868682557,0.2335148642703057
3,0.3321657586681565,0.32870597879772284,0.2204332844622487
4,0.31721549783589753,0.3138344150504925,0.2079987224078121
5,0.30293811592300096,0.29963388256624596,0.19618340671306067
6,0.28930331702902395,0.28607421332923405,0.18495272089295522
7,0.27628218716372405,0.27312650009031064,0.1742842422400563
8,0.2638471086081904,0.260763198515759,0.1641495039624867
9,0.2519716889281387,0.2489579176678208,0.15452328160986048
10,0.2406307593572768,0.2376854548659152,0.14538254447916965
11,0.22980025082496325,0.22692190884247776,0.13670271970823478
12,0.2194572043337609,0.21664429270858723,0.12846225399996505
13,0.20957965523814084,0.20683070469810363,0.12064083247735455
14,0.2001466885576179,0.19746021344076514,0.11322005156737197
15,0.19113826626360236,0.18851285985760108,0.10617873865274002
16,0.18253528971012256,0.1799695615681437,0.09949974852535554
17,0.17431950127450657,0.17181210179277895,0.0931656965326638
18,0.16647349173657058,0.164023086381252,0.0871600083499266
19,0.15898061316743267,0.1565859023671871,0.08146736589439635
20,0.15182496927971315,0.1494846854302441,0.07607237138355347
21,0.1449913882294535,0.1427042867062585,0.07096141290148861
22,0.13846536712572827,0.13623023956523989,0.06612029404571416
23,0.1322330575387729,0.13004872821383634,0.06153626778780166
24,0.12628124714717442,0.12414656144816595,0.05719682283959936
25,0.1205973257461948,0.11851114691244266,0.05309071128695114
26,0.11516921590838286,0.11313043262619213,0.04920616673950065
27,0.10998540990308309,0.10799295275393644,0.045532937451328304
28,0.10503491420539576,0.1030877275219412,0.04206044023422337
29,0.10030721789225798,0.09840428111641898,0.03877902284348568
30,0.09579231011743228,0.09393260836916595,0.03567936561259348
31,0.09148061877871652,0.08966315587143314,0.03275271215161277
32,0.08736297473979387,0.08558680028823812,0.02999067769782157
33,0.08343065388421099,0.08169482992424541,0.027385171859952442
34,0.07967532076048155,0.07797892397297078,0.024928631358204015
35,0.07608899640014649,0.07443113590053377,0.0226136764424391
36,0.07266409247727564,0.07104388747070904,0.02043329586091086
37,0.0693933361060497,0.06780991801884811,0.018381073066970587
38,0.06626978319181308,0.06472232770342223,0.016450555204214637
39,0.06328681493127847,0.06177450751909088,0.014635659058388074
40,0.060438100808035924,0.058960137563294004,0.012930963145034835
41,0.05771759720905221,0.05627319688334107,0.011330751142293545
42,0.055119543116123014,0.05370793650467908,0.009829834924326541
43,0.0526384173028759,0.051258861202185674,0.008423368836615347
44,0.05026896221273048,0.048920725548976786,0.007106567478784499
45,0.04800614105206486,0.04668852229578161,0.005875002349761543
46,0.04584517666959661,0.04455746305139114,0.0047243579198143
47,0.04378146716599574,0.042522963319108854,0.0036505306621119685
48,0.041810637748307046,0.040580719372302225,0.0026497752379574316
49,0.039928514808978445,0.03872650856092404,0.001718296591556208
50,0.038131092239508294,0.03695637172796837,0.0008525823937869451
51,0.03641457164775783,0.035266479707418384,4.937113030958201e-5
52,0.03477530706747943,0.03365329003776768,0.0
53,0.03320981846568224,0.03211327509297712,0.0
54,0.03171480312150253,0.03064312907594117,0.0
55,0.030287056850403053,0.029239703904704303,0.0
56,0.02892358673824397,0.027899977775781907,0.0
57,0.027621470519583472,0.026621092995902217,0.0
58,0.02637796199195317,0.025400274412629605,0.0
59,0.025190422045568334,0.024234907175699424,0.0
60,0.024056319546475417,0.023122484424266326,0.0
61,0.022973279519869043,0.022060610683483056,0.0
62,0.021938970529005866,0.0210470012862612,0.0
63,0.020951220796422157,0.0200794736948377,0.0
64,0.02000791497710608,0.019155937675837887,0.0
65,0.019107070961799096,0.018274410008270063,0.0
66,0.018246777420351523,0.017432986531062768,0.0
67,0.01742520617068083,0.016629853944860988,0.0
68,0.016640602970531777,0.01586327879108973,0.0
69,0.015891313062528445,0.015131606110324877,0.0
70,0.015175752415562118,0.014433256315907415,0.0
71,0.014492389476769252,0.013766720542619527,0.0
72,0.01383978940754579,0.013130550960202228,0.0
73,0.013216558261756389,0.012523393510011806,0.0
74,0.012621378938617873,0.011943914162075773,0.0
75,0.012052987399033611,0.011390858733136505,0.0
76,0.011510168090063354,0.010863050490702977,0.0
77,0.010991795385940193,0.01035930236734549,0.0
78,0.01049674381055107,0.009878481153948883,0.0
79,0.010023970769870574,0.009419802386915796,0.0
80,0.009572485775456186,0.008982001032906051,0.0
81,0.009141314201434735,0.008564084222943674,0.0
82,0.00872955014614657,0.008165489293270753,0.0
83,0.008336320199742786,0.007785021753541826,0.0
84,0.007960785693736984,0.007421958914898594,0.0
85,0.007602153965909636,0.007075519106623173,0.0
86,0.007259651442330351,0.006744942029523706,0.0
87,0.006932579613933541,0.006429505996816676,0.0
88,0.006620231443196878,0.006128527569495989,0.0
89,0.006321936300055756,0.005841342930458575,0.0
90,0.006037064352330111,0.005567342019230096,0.0
91,0.005765005010726651,0.005305909774296682,0.0
92,0.005505199710200444,0.005056331258925814,0.0
93,0.005257092986425489,0.004818390884973899,0.0
94,0.005020142582251972,0.004591470968539924,0.0
95,0.004793867349936745,0.004374876725436402,0.0
96,0.004577772413407796,0.0041682444424100415,0.0
97,0.004371402005335842,0.003971123115160856,0.0
98,0.004174312370743094,0.0037830793903173,0.0
99,0.003986100133942428,0.0036036225664475116,0.0
100,0.0038063582212412893,0.003432598923702081,0.0
101,0.003634705790046501,0.0032693651746040944,0.0
102,0.0034707788958870684,0.0031136877906422855,0.0
103,0.0033142309962496085,0.0029652051477815885,0.0
104,0.0031647379868326906,0.0028235775710894564,0.0
105,0.0030219636927068124,0.002688499776146988,0.0
106,0.0028856101072097066,0.002559672542771221,0.0
107,0.002755404665431087,0.0024366234912287766,0.0
108,0.0026310473407169135,0.0023196439772920027,0.0
109,0.002512292302840347,0.002207910242263083,0.0
110,0.0023988904127228,0.0021011740159967668,0.0
111,0.0022905860211669404,0.0019997603874578884,0.0
112,0.0021871551878728294,0.0019027669226377069,0.0
113,0.002088379920397054,0.0018103955297825156,0.0
114,0.0019940491349481667,0.0017223314457708266,0.0
115,0.0019039581501657523,0.0016384750728960214,0.0
116,0.00181793695041331,0.0015584194567179902,0.0
117,0.0017357769042789495,0.0014820907428477479,0.0
118,0.0016573201925372469,0.0014093500548004708,0.0
119,0.0015823887176487856,0.0013400099418046517,0.0
120,0.0015108272654986992,0.0012737895292444117,0.0
121,0.0014425001547193445,0.0012109027435239703,0.0
122,0.0013772400668053367,0.0011508523007327397,0.0
123,0.0013149148071973148,0.0010936114885758007,0.0
124,0.0012553995275210483,0.0010389791132369398,0.0
125,0.0011985598313451558,0.0009869275344339715,0.0
126,0.0011442795125514342,0.0009374083171525649,0.0
127,0.0010924307421378144,0.0008901478671657003,0.0
128,0.0010429378261719848,0.0008451118047057763,0.0
129,0.0009956600916941445,0.0008025825825298703,0.0
130,0.0009505118707855579,0.000761771655804219,0.0
131,0.0009073902856497337,0.0007228883699962263,0.0
132,0.0008662169681231904,0.0006857302693391471,0.0
133,0.0008268900852466127,0.0006503877272562359,0.0
134,0.0007893382232380342,0.000616907537948384,0.0
135,0.0007534768033654642,0.0005849944393091136,0.0
136,0.0007192307663707748,0.0005542661028871738,0.0
137,0.0006865256035184307,0.0005252801810158119,0.0
138,0.0006552876272753549,0.0004976737336988981,0.0
139,0.0006254588885247409,0.00047152446877518194,0.0
140,0.0005969760070622476,0.0004464022660276678,0.0
141,0.0005697715676419556,0.00042269827645946046,0.0
142,0.0005437807413911807,0.000399912495396255,0.0
143,0.0005189825890847676,0.00037840818920114824,0.0
144,0.0004952763176614034,0.00035787058213872735,0.0
145,0.0004726489340501643,0.00033783632625852686,0.0
146,0.0004510465605694605,0.00031965382123720425,0.0
147,0.00043040381323857,0.00030154576799258734,0.0
148,0.00041070261109818533,0.00028516398384590796,0.0
149,0.0003918900582225973,0.0002686666554816389,0.0
150,0.00037391324779773797,0.0002535701565500654,0.0
151,0.000356750858693496,0.00023923725732672606,0.0
152,0.00034036115863562895,0.00022568713622837848,0.0
153,0.0003247075925905463,0.0002125294463441179,0.0
154,0.0003097562838010662,0.00020017998732072163,0.0
155,0.0002954780776660253,0.00018839790434712364,0.0
156,0.0002818425136772613,0.00017717097917879614,0.0
157,0.0002688262197244054,0.00016645489974041858,0.0
158,0.00025639247774561003,0.00015632499063539156,0.0
159,0.00024451862837365556,0.00014541676421009299,0.0
160,0.00023317668947895739,0.00013633354329615108,0.0
161,0.0002223483028565491,0.00012770972012931753,0.0
162,0.0002120068750886391,0.0001195238559462911,0.0
163,0.0002021342901377286,0.00011175553865326295,0.0
164,0.00019270161158750645,0.0001043852234078597,0.0
165,0.00018368998215013694,9.842447416620186e-5,0.0
166,0.0001750871078072757,9.076396758777132e-5,0.0
167,0.00016687390397305537,8.536276615232449e-5,0.0
168,0.00015904421955923248,7.938687474493792e-5,0.0
169,0.00015155451577171682,7.369842098727287e-5,0.0
170,0.00014440088729267929,6.832243174297088e-5,0.0
171,0.00013756320673235877,6.321757126994578e-5,0.0
172,0.0001310295545140905,5.8363691525645635e-5,0.0
173,0.00012481065686084837,5.376484661725931e-5,0.0
174,0.00011887173225385802,4.907751422604642e-5,0.0
175,0.00011318689700623758,4.540383008481871e-5,0.0
176,0.00010776491944025191,4.1463206440757534e-5,0.0
177,0.00010258432981941773,3.7800551859033376e-5,0.0
178,9.763538527010635e-5,3.437224588425163e-5,0.0
179,9.291653452052177e-5,3.098958204501639e-5,0.0
180,8.8402422554996e-5,2.7904964584424334e-5,0.0
181,8.409843477100558e-5,2.5055854605361057e-5,0.0
182,7.998562833496677e-5,2.2245986333573425e-5,0.0
183,7.604916751902005e-5,1.965554713973677e-5,0.0
184,7.230625718600236e-5,1.7301097058361866e-5,0.0
185,6.872778622669775e-5,1.4915041341355485e-5,0.0
186,6.529764918577599e-5,1.2751539006158975e-5,0.0
