D_km,SKR_0.0,SKR_0.01,SKR_0.1,SKR_0.15
0,0.9999758147126365,0.9018960450591924,0.3813784429481384,0.16988373575105126
1,0.9549675087478965,0.8613034256836185,0.3642132456239078,0.16223742173319178
2,0.9119850059267938,0.822537696301328,0.347820599400731,0.1549352509321128
3,0.8709369654307769,0.7855167883650517,0.3321657586681565,0.14796172383200346
4,0.8317364572513785,0.7501620326117246,0.31721549783589753,0.14130207207125012
5,0.7943002593314352,0.716398518549366,0.30293811592300096,0.13494214636952095
6,0.7585489402299745,0.6841546357151123,0.28930331702902395,0.12886846531543222
7,0.7244067437142072,0.653361946958192,0.27628218716372405,0.12306814112140374
8,0.691801207907605,0.6239551626916281,0.2638471086081904,0.11752887749953711
9,0.6606631700538388,0.5958719006428633,0.2519716889281387,0.11223892217355025
10,0.6309265844766067,0.5690525829595491,0.2406307593572768,0.10718705775754217
11,0.6025283751887713,0.5434403582077134,0.22980025082496325,0.10236256051206777
12,0.5754082620005939,0.5189808558309029,0.2194572043337609,0.09775520155733225
13,0.5495088011630929,0.4956222068971085,0.20957965523814084,0.09335521193696034
14,0.5247750953487802,0.47331485703523984,0.2001466885576179,0.08915324866152238
15,0.5011545282789798,0.4520115602340461,0.19113826626360236,0.0851404083845789
16,0.478597070471269,0.4316669870878516,0.18253528971012256,0.08130817538700588
17,0.4570548670934523,0.41223816780180833,0.17431950127450657,0.07764842084716853
18,0.43648218712253234,0.39368372549315905,0.16647349173657058,0.07415338063712545
19,0.41683553750681435,0.37596438327480636,0.15898061316743267,0.07081564556559738
20,0.39807311165468623,0.3590425499215192,0.15182496927971315,0.06762812705280791
21,0.3801547118520984,0.34288232914107264,0.1449913882294535,0.06458407954043616
22,0.36304359896315724,0.32744938788867245,0.13846536712572827,0.0616770330100426
23,0.3467021089732705,0.31271111676387175,0.1322330575387729,0.05890082552718898
24,0.3310959888340746,0.2986361288238882,0.12628124714717442,0.056249568452731324
25,0.31619257588384075,0.2851946319376051,0.1205973257461948,0.05371763428312587
